species,site,age,age_exact,branch_age,branch_code,branch_type,juvenile,date_collected,indiv_pooled,lvs_per_ind,leaf_number,weight,leaf_area,LMA,leaf_area_m,weight_kg,LMA_kgm,notes
PHPH,Basin2007,5,5,young,1,main,adult,15-Apr-14,4,8,32,0.0509,3.68043,0.014,0.000368043,0.0000509,0.138,
PHPH,Basin2007,5,5,mid,2,main,adult,15-Apr-14,4,6,24,0.0637,3.76427,0.017,0.000376427,0.0000637,0.169,
PHPH,Basin2007,5,5,old,3,main,adult,15-Apr-14,4,8,32,0.0913,4.51314,0.02,0.000451314,0.0000913,0.202,
PHPH,Basin2005,7,7,young,1,main,adult,15-Apr-14,4,8,33,0.0918,5.31472,0.017,0.000531472,0.0000918,0.173,
PHPH,Basin2005,7,7,mid,2,main,adult,15-Apr-14,4,8,32,0.1092,5.25675,0.021,0.000525675,0.0001092,0.208,
PHPH,Basin2005,7,7,old,3,main,adult,15-Apr-14,4,8,32,0.1016,5.17459,0.02,0.000517459,0.0001016,0.196,
PHPH,Waratah2003,9,9,young,1,main,adult,14-Mar-14,5,8,40,0.0891,4.81952,0.018,0.000481952,0.0000891,0.185,
PHPH,Waratah2003,9,9,mid,2,main,adult,14-Mar-14,5,8,40,0.1122,6.1011,0.018,0.00061011,0.0001122,0.184,
PHPH,Waratah2003,9,9,old,3,main,adult,14-Mar-14,5,8,40,0.1488,6.86157,0.022,0.000686157,0.0001488,0.217,
PHPH,Basin1981,32,32,young,1,main,adult,7-May-14,4,10,40,0.0515,4.2128,0.012,0.00042128,0.0000515,0.122,
PHPH,Basin1981,32,32,mid,2,main,adult,7-May-14,5,10,49,0.087,5.0879,0.017,0.00050879,0.000087,0.171,
PHPH,Basin1981,32,32,old,3,main,adult,7-May-14,5,10,50,0.1151,6.32645,0.018,0.000632645,0.0001151,0.182,
PILI,Wilunga2012,1.4,1.35,young,1,main,adult,7-May-14,4,8,32,0.0328,4.67619,0.007,0.000467619,0.0000328,0.07,
PILI,Wilunga2012,1.4,1.35,mid,2,main,2,7-May-14,4,8,31,0.0194,2.7973,0.007,0.00027973,0.0000194,0.069,
PILI,Waratah2011,2.4,2.4,young,1,main,adult,13-Mar-14,5,8,40,0.048,4.94087,0.01,0.000494087,0.000048,0.097,
PILI,Waratah2011,2.4,2.4,mid,2,main,adult,13-Mar-14,5,8,40,0.059,5.45889,0.011,0.000545889,0.000059,0.108,
PILI,Basin2007,5,5,young,1,main,adult,15-Apr-14,4,8,32,0.0266,3.22875,0.008,0.000322875,0.0000266,0.082,
PILI,Basin2007,5,5,mid,2,main,adult,15-Apr-14,4,8,33,0.0454,4.11009,0.011,0.000411009,0.0000454,0.11,
PILI,Basin2005,7,7,young,1,main,adult,15-Apr-14,3,8,24,0.0275,3.34343,0.008,0.000334343,0.0000275,0.082,
PILI,Basin2005,7,7,mid,2,main,adult,15-Apr-14,3,8,24,0.0365,3.34368,0.011,0.000334368,0.0000365,0.109,
PILI,Waratah2003,9,9,young,1,main,adult,14-Mar-14,5,8,40,0.0416,5.25978,0.008,0.000525978,0.0000416,0.079,
PILI,Waratah2003,9,9,mid,2,main,adult,14-Mar-14,3,8,24,0.0274,2.74479,0.01,0.000274479,0.0000274,0.1,
PUTU,Wilunga2012,1.4,1.35,young,1,main,adult,7-May-14,4,8,32,0.0331,5.48322,0.006,0.000548322,0.0000331,0.06,leaves from side branches; usually smaller than those on main stem
PUTU,Wilunga2012,1.4,1.35,mid,2,main,2,7-May-14,4,8,32,0.0678,6.9255,0.0098,0.00069255,0.0000678,0.098,"oval, ""adult"" form leaves on main stem"
PUTU,Wilunga2012,1.4,1.35,old,3,main,1,7-May-14,4,6,24,0.0476,7.14911,0.0067,0.000714911,0.0000476,0.067,1st oval leaves after cotyledon
PUTU,Waratah2011,2.4,2.4,young,1,main,adult,27-Feb-14,4,11,44,0.0917,10.422,0.0088,0.0010422,0.0000917,0.088,
PUTU,Waratah2011,2.4,2.4,mid,2,main,adult,27-Feb-14,4,11,44,0.149,14.76733,0.0101,0.001476733,0.000149,0.101,
PUTU,Waratah2011,2.4,2.4,old,3,main,2,27-Feb-14,4,8,32,0.1243,11.78751,0.0105,0.001178751,0.0001243,0.105,
PUTU,Basin2007,5,5,young,1,main,adult,15-Apr-14,4,6,24,0.0608,5.54588,0.011,0.000554588,0.0000608,0.11,
PUTU,Basin2007,5,5,mid,2,main,adult,15-Apr-14,4,6,23,0.05,4.22695,0.0118,0.000422695,0.00005,0.118,
PUTU,Basin2007,5,5,old,3,main,adult,15-Apr-14,2,8,16,0.0425,3.24506,0.0131,0.000324506,0.0000425,0.131,
PUTU,Basin2005,7,7,young,1,main,adult,15-Apr-14,4,6,24,0.0379,4.07323,0.0093,0.000407323,0.0000379,0.093,
PUTU,Basin2005,7,7,mid,2,main,adult,15-Apr-14,4,6,24,0.0587,5.3283,0.011,0.00053283,0.0000587,0.11,
PUTU,Basin2005,7,7,old,3,main,adult,15-Apr-14,4,6,24,0.06107,5.61569,0.0109,0.000561569,0.00006107,0.109,
PUTU,Waratah2003,9,9,young,1,main,adult,14-Mar-14,5,8,38,0.0998,8.80135,0.0113,0.000880135,0.0000998,0.113,
PUTU,Waratah2003,9,9,mid,2,main,adult,14-Mar-14,5,6,25,0.055,4.04928,0.0136,0.000404928,0.000055,0.136,
PUTU,Waratah2003,9,9,old,3,main,adult,14-Mar-14,5,4,22,0.0572,4.25606,0.0134,0.000425606,0.0000572,0.134,
PUTU,Basin1981,32,32,young,1,main,adult,7-May-14,4,10,32,0.0662,6.29262,0.0105,0.000629262,0.0000662,0.105,
PUTU,Basin1981,32,32,mid,2,main,adult,7-May-14,4,8,32,0.0728,6.38411,0.0114,0.000638411,0.0000728,0.114,
PUTU,Basin1981,32,32,old,3,main,adult,7-May-14,4,6,23,0.0587,4.85632,0.0121,0.000485632,0.0000587,0.121,
PEPU,Waratah2011,2.4,2.4,young,1,main,adult,30-Oct-14,4,2,8,1.386,52.7589,0.026270468,0.052758862,0.001386,0.026270468,
PEPU,Waratah2011,2.4,2.4,mid,2,main,adult,30-Oct-14,4,2,8,1.1604,36.0507,0.032188,0.036050702,0.0011604,0.032188,
PEPU,Waratah2011,2.4,2.4,old,3,main,2,30-Oct-14,4,2,8,0.3561,12.3892,0.028742774,0.012389201,0.0003561,0.028742774,
